Region,Month,Year,electric,gas,water
Full Campus,July,2008,1989700,4439,2431
Full Campus,August,2008,1882841,5358,2382
Full Campus,September,2008,2263423,5732,3702
Full Campus,October,2008,2012251,3142,5752
Full Campus,November,2008,1921125,3209,3780
Full Campus,December,2008,1931999,1427,3077
Full Campus,January,2009,1760476,3558,2905
Full Campus,February,2009,1846148,3814,4000
Full Campus,March,2009,1721543,3093,4015
Full Campus,April,2009,1888555,3049,4762
Full Campus,May,2009,2069430,4755,2663
Full Campus,June,2009,1758962,3853,3595
Full Campus,July,2009,1862350,7014,2410
Full Campus,August,2009,2078676,4228,2860
Full Campus,September,2009,2200638,3347,6691
Full Campus,October,2009,1939571,3133,3934
Full Campus,November,2009,1861881,1518,4051
Full Campus,December,2009,1902866,3549,3122
Full Campus,January,2010,1799346,3419,2882
Full Campus,February,2010,1814183,2497,4210
Full Campus,March,2010,1716435,2641,3767
Full Campus,April,2010,2052658,2082,5088
Full Campus,May,2010,1783085,4178,2612
Full Campus,June,2010,1845231,4619,2914
Full Campus,July,2010,2005396,5306,2411
Full Campus,August,2010,1870265,3881,2726
Full Campus,September,2010,1956230,3572,4716
Full Campus,October,2010,1733837,2291,4489
Full Campus,November,2010,1893770,4918,3674
Full Campus,December,2010,1950335,4610,2726
Full Campus,January,2011,1640800,3201,2866
Full Campus,February,2011,1824688,3828,3773
Full Campus,March,2011,1673226,6010,3641
Full Campus,April,2011,1956167,10158,4348
Full Campus,May,2011,1694865,9148,2263
Full Campus,June,2011,1848929,22743,2509
Full Campus,July,2011,2084154,13725,2124
Full Campus,August,2011,1932651,4904,3342
Full Campus,September,2011,2105080,5108,4984
Full Campus,October,2011,1932230,5392,2609
Full Campus,November,2011,1748311,9903,3293
Full Campus,December,2011,1945066,8677,2208
Full Campus,January,2012,1574582,9020,2716
Full Campus,February,2012,1818768,12722,3679
Full Campus,March,2012,1891908,2799,3562
Full Campus,April,2012,1885181,3805,4022
Full Campus,May,2012,1747259,4624,2581
Full Campus,June,2012,1858361,2123,2467
Full Campus,July,2012,1561365,12026,3403
Full Campus,August,2012,1937567,10396,3777
Full Campus,September,2012,2274997,15713,4265
Full Campus,October,2012,1771545,11410,4837
Full Campus,November,2012,1700037,11391,2993
Full Campus,December,2012,1982598,13515,2480
Full Campus,January,2013,1618948,18535,2802
Full Campus,February,2013,1894172,3952,3743
Full Campus,March,2013,1600940,3547,3212
Full Campus,April,2013,1791766,6369,4240
Full Campus,May,2013,1566996,2826,2703
Full Campus,June,2013,1747465,7438,2259
Full Campus,July,2013,1925494,8941,2967
Full Campus,August,2013,1663845,17226,3283
Full Campus,September,2013,2206014,13890,4748
Full Campus,October,2013,1846801,18093,4898
Full Campus,November,2013,1802803,18054,3223
Full Campus,December,2013,1961496,18864,2495
Full Campus,January,2014,1663926,7250,2273
Full Campus,February,2014,1855473,7797,4347
Full Campus,March,2014,1685170,8386,2616
Full Campus,April,2014,1890458,3020,4229
Full Campus,May,2014,1932586,3484,3730
Full Campus,June,2014,1795958,5103,1803
Full Campus,July,2014,1840604,20685,2205
Full Campus,August,2014,1814202,19678,3204
Full Campus,September,2014,2035029,16885,4316
Full Campus,October,2014,1769762,21257,4856
Full Campus,November,2014,1734159,22063,3109
Full Campus,December,2014,1792759,8452,2799
Full Campus,January,2015,1631076,5040,2804
Full Campus,February,2015,1755449,5898,4108
Full Campus,March,2015,1574331,7254,3064
Full Campus,April,2015,1819399,3352,4083
Full Campus,May,2015,1688882,7628,3141
Full Campus,June,2015,1679855,23339,2638
Full Campus,July,2015,1745060,17821,2455
Full Campus,August,2015,1549944,13593,3387
Full Campus,September,2015,1875144,16090,5250
Full Campus,October,2015,1609028,19576,4347
Full Campus,November,2015,1653364,4502,3011
Full Campus,December,2015,1649389,4872,2404
Full Campus,January,2016,1360549,6049,2376
Full Campus,February,2016,1586609,7349,3352
Full Campus,March,2016,1554973,3083,2970
Full Campus,April,2016,1483946,5263,3733
Full Campus,May,2016,1378186,17540,2221
Full Campus,June,2016,1468311,12321,2039
Full Campus,July,2016,1603711,13971,2405
Full Campus,August,2016,1591085,17152,3399
Full Campus,September,2016,1938149,18185,4328
Full Campus,October,2016,1760986,15776,4089
Full Campus,November,2016,1473884,2389,3663
Full Campus,December,2016,1698875,4751,2656
Full Campus,January,2017,1317689,12671,2623
Full Campus,February,2017,1520701,2330,3540
Full Campus,March,2017,1477124,6002,3254
Full Campus,April,2017,1490420,2084,3695
Full Campus,May,2017,1447866,2656,2977
Full Campus,June,2017,1561870,8092,3039
Full Campus,July,2017,1685316,13074,2573
Full Campus,August,2017,1506854,10786,2713
Full Campus,September,2017,2742629,6951,3581
Full Campus,October,2017,1388944,7794,3548
Full Campus,November,2017,1114805,2591,2515
Full Campus,December,2017,1494056,5038,1711
Full Campus,January,2018,1330339,11555,1590
Full Campus,February,2018,1432968,10028,2888
Full Campus,March,2018,1461882,5113,2950
Full Campus,April,2018,1447492,4839,3127
Full Campus,May,2018,1625191,4548,3630
Full Campus,June,2018,1666616,5377,2119
Full Campus,July,2018,2035564,6505,2715
Full Campus,August,2018,2341193,4904,3350
Full Campus,September,2018,2092035,4316,3612
Full Campus,October,2018,1686535,2191,4107
Full Campus,November,2018,1595072,3829,3368
Full Campus,December,2018,1555158,6504,2676
Full Campus,January,2019,1313613,8425,2515
Full Campus,February,2019,1754115,4084,3675
Full Campus,March,2019,1533107,4792,2978
Full Campus,April,2019,1954903,3206,3511
Full Campus,May,2019,1996366,3318,2658
Full Campus,June,2019,1778521,6882,1528